автобус bus
письмо letter
бабушка grandmother
пока bye
борщ borsch
радио radio
бутерброд sandwich
река river
вода water
Россия Russia
вторник Tuesday
русский Russian
год year
рыба fish
город city
смотреть look/watch
да yes
собака dog
девочка girl
соль salt
еда food
сообщение message
ёж hedgehog
стол chair
ель spruce
сыр cheese
если if
театр theatre
жук beetle
телефон telephone
звезда star
тетрадь notebook
зонт umbrella
уже already
игра game
ухо ear
йога yoga
фрукты fruits
книга book
футбол football
кто who
хвост tail
лимон lemon
хомяк hamster
ложка spoon
цветок flower
любовь love
человек human
метро metro
четверг Thursday
мой my(mine)
шесть six
мост bridge
шея neck
небо sky
экономика economy
нет no
это this
объект object
юг south
озеро lake
яблоко apple
отъезд departure
говорить to speak
мясо meat
городской city (adj.) 
ничего nothing
дорогой expensive, dear
очень very
ёлка Christmas tree 
первый first
золотой golden 
питьё drink
зуб tooth 
плохой bad
красный red 
сегодня today
лёгкий light, easy 
сейчас now
масло oil 
слово word
машина car 
солнце Sun
моё my, mine 
тепло hot
морской sea (adj.) 
хорошо good
мягкий soft 
чувство feeling
